,,,,,,,
,Title,Author,Link to file,Genre,Summary,Status,Rating
,Ancient Civilizations of North America,Edwin Barnhart,/home/palash/Documents/books/Ancient Civilizations of North America.pdf,self-help,n/a,to be read,n/a
,Learn Python the Hard Way,Zed A Shaw,/home/palash/Documents/books/Learn Python The Hard Way (Zed Shaw) (Z-Library).pdf,self-help,n/a,to be read,n/a
,The Rational Optimist,Matt Ridely,/home/palash/Documents/books/The Rational Optimist How Prosperity Evolves (Matt Ridley) (Z-Library).epub,self-help,n/a,to be read,n/a
,A Gentle Reminder,Bianca Sparacino,/home/palash/Documents/books/A Gentle Reminder (Bianca Sparacino) (Z-Library).pdf,self-help,n/a,to be read,n/a
,The Design of Everyday Things,Don Norman,/home/palash/Documents/books/The Design of Everyday Things by Don Norman.pdf,self-help,n/a,to be read,n/a
,Hundred Startup Ideas,Chris Guillebeau,/home/palash/Documents/books/The 100 Startup (Chris Guillebeau) (Z-Library).epub,self-help,n/a,to be read,n/a
,Utopia for Realists,Rutger Bregman,/home/palash/Documents/books/Utopia for Realists (Rutger Bregman) (Z-Library).epub,self-help,n/a,to be read,n/a
,Thinking in Systems - a Primer,donella H. Meadows,/home/palash/Documents/books/Thinking in systems  a primer (Donella H Meadows Diana Wright) (Z-Library).pdf,self-help,n/a,to be read,n/a
,Becoming an Academic Writer,Patricia Goodson,/home/palash/Documents/books/Becoming an Academic Writer 50 Exercises for Pa... (Z-Library).epub,self-help,n/a,to be read,n/a
,Candide,Voltaire,/home/palash/Documents/books/Candide (Voltaire) (Z-Library).epub,self-help,n/a,to be read,n/a
,Everyday Engineering,Stephen Ressler,/home/palash/Documents/books/Everyday Engineering.pdf,self-help,n/a,to be read,n/a
